Date,Time,OVEN 1 [°F],OVEN 2 [°F],OVEN 3 [°F],OVEN 4 [°F],OVEN 5 [°F],OVEN 6 [°F],OVEN 1 AL,OVEN 2 AL,OVEN 3 AL,OVEN 4 AL,OVEN 5 AL,OVEN 6 AL,
10/03/2021,16:00:00,271.8,89.8,78.4,80.2,80.1,78.8,,,,,,,
10/03/2021,16:03:00,271.8,89.8,78.4,80.2,80.1,78.8,,,,,,,
10/03/2021,16:06:00,271.9,89.8,78.4,80.2,80.1,78.6,,,,,,,
10/03/2021,16:09:00,271.8,89.8,78.4,80.2,80.1,78.8,,,,,,,
10/03/2021,16:12:00,271.4,89.6,78.4,80.2,80.1,78.6,,,,,,,
10/03/2021,16:15:00,271.6,89.6,78.4,80.2,80.1,78.6,,,,,,,
10/03/2021,16:18:00,271.8,89.6,78.4,80.2,80.1,78.6,,,,,,,
10/03/2021,16:21:00,271.9,89.6,78.4,80.2,80.1,78.8,,,,,,,
10/03/2021,16:24:00,271.8,89.6,78.4,80.2,80.1,78.8,,,,,,,
10/03/2021,16:27:00,271.9,89.4,78.3,80.2,80.1,78.6,,,,,,,
10/03/2021,16:30:00,271.8,89.4,78.3,80.2,80.1,78.6,,,,,,,
10/03/2021,16:33:00,271.8,89.6,78.4,80.4,80.2,78.8,,,,,,,
10/03/2021,16:36:00,271.8,89.6,78.4,80.4,80.2,78.8,,,,,,,
10/03/2021,16:39:00,271.8,89.6,78.4,80.4,80.2,78.8,,,,,,,
10/03/2021,16:42:00,271.8,89.6,78.4,80.4,80.2,78.8,,,,,,,
10/03/2021,16:45:00,271.9,89.4,78.4,80.4,80.2,79.0,,,,,,,
10/03/2021,16:48:00,271.9,89.4,78.4,80.4,80.1,78.8,,,,,,,
10/03/2021,16:51:00,271.6,89.4,78.4,80.4,80.2,78.8,,,,,,,
10/03/2021,16:54:00,271.6,89.4,78.4,80.4,80.2,78.8,,,,,,,
10/03/2021,16:57:00,271.9,89.6,78.6,80.6,80.4,79.2,,,,,,,
10/03/2021,17:00:00,271.6,89.6,78.6,80.6,80.4,79.2,,,,,,,
10/03/2021,17:03:00,271.8,89.6,78.6,80.6,80.2,79.0,,,,,,,
10/03/2021,17:06:00,271.9,89.4,78.6,80.6,80.2,79.2,,,,,,,
10/03/2021,17:09:00,271.9,89.4,78.6,80.6,80.2,79.2,,,,,,,
10/03/2021,17:12:00,272.1,89.4,78.6,80.6,80.4,79.0,,,,,,,
10/03/2021,17:15:00,271.9,89.4,78.6,80.6,80.4,79.0,,,,,,,
10/03/2021,17:18:00,271.8,89.4,78.6,80.6,80.4,79.2,,,,,,,
10/03/2021,17:21:00,271.8,89.4,78.6,80.6,80.4,79.0,,,,,,,
10/03/2021,17:24:00,271.6,89.4,78.6,80.6,80.2,79.0,,,,,,,
10/03/2021,17:27:00,271.8,89.2,78.6,80.6,80.2,79.0,,,,,,,
10/03/2021,17:30:00,271.9,89.2,78.6,80.6,80.2,79.0,,,,,,,
10/03/2021,17:33:00,271.8,89.2,78.6,80.6,80.2,79.0,,,,,,,
10/03/2021,17:36:00,271.8,89.2,78.6,80.6,80.2,79.0,,,,,,,
10/03/2021,17:39:00,271.8,89.2,78.4,80.4,80.2,79.0,,,,,,,
10/03/2021,17:42:00,271.6,89.2,78.6,80.4,80.4,79.0,,,,,,,
10/03/2021,17:45:00,271.8,89.2,78.4,80.6,80.2,79.0,,,,,,,
10/03/2021,17:48:00,271.8,89.2,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,17:51:00,271.6,89.1,78.6,80.6,80.4,79.0,,,,,,,
10/03/2021,17:54:00,271.8,89.1,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,17:57:00,271.6,89.1,78.4,80.4,80.2,79.0,,,,,,,
10/03/2021,18:00:00,271.6,89.1,78.4,80.4,80.2,79.0,,,,,,,
10/03/2021,18:03:00,271.8,89.1,78.4,80.6,80.2,79.0,,,,,,,
10/03/2021,18:06:00,271.8,89.1,78.4,80.6,80.2,79.0,,,,,,,
10/03/2021,18:09:00,271.8,89.1,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:12:00,271.8,89.1,78.4,80.6,80.2,79.0,,,,,,,
10/03/2021,18:15:00,271.6,89.1,78.4,80.4,80.4,79.0,,,,,,,
10/03/2021,18:18:00,271.6,89.1,78.4,80.4,80.4,79.0,,,,,,,
10/03/2021,18:21:00,271.9,89.1,78.4,80.4,80.4,79.0,,,,,,,
10/03/2021,18:24:00,271.9,89.1,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:27:00,271.9,89.1,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:30:00,271.9,89.1,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:33:00,271.8,89.1,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:36:00,271.9,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:39:00,271.9,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:42:00,271.8,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:45:00,271.9,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:48:00,271.9,88.9,78.4,80.4,80.4,79.0,,,,,,,
10/03/2021,18:51:00,271.9,88.9,78.4,80.4,80.4,79.0,,,,,,,
10/03/2021,18:54:00,271.8,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,18:57:00,271.9,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,19:00:00,271.8,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,19:03:00,271.9,88.9,78.4,80.6,80.4,79.0,,,,,,,
10/03/2021,19:06:00,271.8,88.9,78.3,80.6,80.4,79.0,,,,,,,
10/03/2021,19:09:00,271.9,88.9,78.3,80.6,80.4,79.0,,,,,,,
10/03/2021,19:12:00,271.6,88.9,78.3,80.6,80.4,79.0,,,,,,,
10/03/2021,19:15:00,271.9,88.9,78.3,80.6,80.4,79.0,,,,,,,
10/03/2021,19:18:00,271.9,88.9,78.3,80.4,80.4,79.0,,,,,,,
10/03/2021,19:21:00,271.8,88.7,78.3,80.6,80.4,79.0,,,,,,,
10/03/2021,19:24:00,271.9,88.5,78.1,80.2,80.2,78.8,,,,,,,
10/03/2021,19:27:00,271.8,88.5,78.1,80.2,80.2,78.8,,,,,,,
10/03/2021,19:30:00,271.8,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:33:00,271.9,88.5,78.1,80.2,80.2,78.8,,,,,,,
10/03/2021,19:36:00,271.9,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:39:00,271.9,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:42:00,271.9,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:45:00,271.8,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:48:00,271.9,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:51:00,271.8,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:54:00,271.8,88.5,78.1,80.4,80.2,78.8,,,,,,,
10/03/2021,19:57:00,271.9,88.5,78.1,80.4,80.2,78.8,,,,,,,

Marker list,
Date,Time,Marker text,
